date,adj_close
2023-09-12,167.86
2023-09-13,168.44
2023-09-14,171.56
2023-09-15,175.31
2023-09-18,178.27
2023-09-19,178.46
2023-09-20,179.34
2023-09-21,178.8
2023-09-22,175.67
2023-09-25,174.61
2023-09-26,176.97
2023-09-27,177.65
2023-09-28,176.94
2023-09-29,174.45
2023-10-02,174.3
2023-10-03,172.97
2023-10-04,173.13
2023-10-05,174.36
2023-10-06,169.03
2023-10-09,168.88
2023-10-10,165.58
2023-10-11,163.52
2023-10-12,160.81
2023-10-13,163.36
2023-10-16,164.94
2023-10-17,166.13
2023-10-18,164.51
2023-10-19,161.34
2023-10-20,160.56
2023-10-23,161.07
2023-10-24,160.97
2023-10-25,162.56
2023-10-26,161.83
2023-10-27,165.95
2023-10-30,167.52
2023-10-31,172.25
2023-11-01,172.89
2023-11-02,172.41
2023-11-03,170.47
2023-11-06,172.44
2023-11-07,175.01
2023-11-08,175.46
2023-11-09,176.51
2023-11-10,175.92
2023-11-13,174.97
2023-11-14,174.33
2023-11-15,169.94
2023-11-16,167.64
2023-11-17,167.8
2023-11-20,168.15
2023-11-21,170.74
2023-11-22,172.29
2023-11-23,173.36
2023-11-24,173.54
2023-11-27,168.27
2023-11-28,168.44
2023-11-29,166.45
2023-11-30,167.64
2023-12-01,167.04
2023-12-04,166.32
2023-12-05,165.14
2023-12-06,164.53
2023-12-07,160.2
2023-12-08,156.76
2023-12-11,159.45
2023-12-12,160.45
2023-12-13,159.52
2023-12-14,158.8
2023-12-15,158.05
2023-12-18,165.34
2023-12-19,166.57
2023-12-20,166.62
2023-12-21,165.12
2023-12-22,159.87
2023-12-25,160.18
2023-12-26,163.31
2023-12-27,165.47
2023-12-28,166.12
2023-12-29,164.78
2024-01-01,162.15
2024-01-02,162.36
2024-01-03,161.48
2024-01-04,159.0
2024-01-05,162.71
2024-01-08,160.65
2024-01-09,159.48
2024-01-10,154.35
2024-01-11,158.06
2024-01-12,157.74
2024-01-15,157.61
2024-01-16,158.27
2024-01-17,156.47
2024-01-18,155.16
2024-01-19,155.83
2024-01-22,154.1
2024-01-23,154.81
2024-01-24,157.46
2024-01-25,159.16
2024-01-26,162.33
2024-01-29,164.79
2024-01-30,168.82
2024-01-31,169.54
2024-02-01,170.58
2024-02-02,168.07
2024-02-05,167.69
2024-02-06,166.06
2024-02-07,165.94
2024-02-08,163.61
2024-02-09,164.37
2024-02-12,170.37
2024-02-13,168.59
2024-02-14,169.98
2024-02-15,171.49
2024-02-16,169.81
2024-02-19,169.16
2024-02-20,167.98
2024-02-21,169.04
2024-02-22,167.6
2024-02-23,173.78
2024-02-26,175.9
2024-02-27,178.74
2024-02-28,184.2
2024-02-29,187.77
2024-03-01,187.54
2024-03-04,188.53
2024-03-05,188.67
2024-03-06,189.41
2024-03-07,192.02
2024-03-08,186.86
2024-03-11,182.63
2024-03-12,181.85
2024-03-13,183.02
2024-03-14,181.82
2024-03-15,181.37
